source_id,categories,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
10685,Trays,Medium Chick-fil-A® Cool Wrap Tray,116,480,39,7,0,70,970,18,7,3,22
10687,Trays,Large Chick-fil-A® Cool Wrap Tray,116,480,39,7,0,70,970,18,7,3,22
10689,Trays,Southwest Veggie Wrap Trays,128,460,39,8,0,35,940,19,8,3,14
10691,Trays,Small Southwest Veggie Wrap Tray,128,460,39,8,0,35,940,19,8,3,14
10693,Trays,Medium Southwest Veggie Wrap Tray,128,460,39,8,0,35,940,19,8,3,14
10694,Trays,Large Southwest Veggie Wrap Tray,128,460,39,8,0,35,940,19,8,3,14
10696,Trays,Spicy Cool Wrap® Trays,116,480,39,7,0,65,1150,18,8,4,21
10697,Trays,Small Spicy Cool Wrap® Tray,116,480,39,7,0,65,1150,18,8,4,21
10699,Trays,Medium Spicy Cool Wrap® Tray,116,480,39,7,0,65,1150,18,8,4,21
10701,Trays,Large Spicy Cool Wrap® Tray,116,480,39,7,0,65,1150,18,8,4,21
10703,Trays,Fruit Tray,1446,780,0,0,0,0,0,182,29,134,8
10705,Trays,Small Fruit Tray,1446,780,0,0,0,0,0,182,29,134,8
10706,Trays,Large Fruit Tray,2948,1580,0,0,0,0,0,369,58,273,16
10707,Trays,Mac & Cheese Tray,2482,4930,312,178,3.5,750,13030,308,31,36,221
10709,Trays,Small Mac & Cheese Tray,2482,4930,312,178,3.5,750,13030,308,31,36,221
10710,Trays,Large Mac & Cheese Tray,4964,9850,625,355,7,1500,26060,616,63,71,442
10711,Trays,Garden Salad Tray,595,310,18,11,0.5,55,420,20,9,11,19
10713,Trays,Small Garden Salad Tray,595,310,18,11,0.5,55,420,20,9,11,19
10715,Trays,Large Garden Salad Tray,1191,630,36,23,1,110,850,41,17,21,38
10717,Trays,Kale Crunch Side Tray,610,1160,87,9,0,0,1420,77,23,42,30
10719,Trays,Small Kale Crunch Side Tray,610,1160,87,9,0,0,1420,77,23,42,30
10721,Trays,Large Kale Crunch Side Tray,1332,2440,182,20,1,0,3080,166,49,92,63
10722,Trays,Chocolate Chunk Cookie Tray,78,370,17,9,0,15,230,49,3,26,5
10724,Trays,Small Chocolate Chunk Cookie Tray,78,370,17,9,0,15,230,49,3,26,5
10725,Trays,Large Chocolate Chunk Cookie Tray,78,370,17,9,0,15,230,49,3,26,5
10727,Trays,Chocolate Fudge Brownie Tray,43,190,10,4,0,35,70,23,1,18,2
10729,Trays,Small Chocolate Fudge Brownie Tray,43,190,10,4,0,35,70,23,1,18,2
10731,Trays,Large Chocolate Fudge Brownie Tray,43,190,10,4,0,35,70,23,1,18,2
10733,Trays,Cookie & Brownie Tray,60,280,14,7,0,25,150,36,2,22,3
10735,Trays,Small Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray,60,280,14,7,0,25,150,36,2,22,3
10736,Trays,Large Chocolate Chunk Cookie and Chocolate Fudge Brownie Tray,60,280,14,7,0,25,150,36,2,22,3
10771,Catering Entrées,Chilled Grilled Chicken Sub Sandwich,230,500,17,6,0,95,1055,52,5,11,36
10778,Catering Entrées,Spicy Chilled Grilled Chicken Sub Sandwich,230,500,17,6,0,90,1405,53,5,11,34
10828,Catering Drinks,Bottled Sweet Tea,506,190,0,0,0,0,0,50,0,49,0
10830,Catering Drinks,Bottled Unsweet Tea,486,0,0,0,0,0,0,0,0,0,0
10832,Catering Drinks,Bottled Lemonade,520,280,0,0,0,0,10,73,0,69,0
10834,Catering Drinks,Bottled Diet Lemonade,492,60,0,0,0,0,10,17,0,12,0
10844,Catering Drinks,Catering Coffee,2722,0,0,0,0,0,80,0,0,0,0
