source_id,categories,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
10539,Treats,Chick-fil-A® Icedream® Cup,122,140,3.5,2.5,0,15,75,24,0,24,4
39694,Treats,Dr Pepper® Float,369,320,7,4.5,0,25,150,60,0,59,7
51477,Treats | Coffee,Caramel Frosted Coffee,406,370,10,6,0,40,190,63,0,60,7
51479,Treats | Coffee,Mocha Frosted Coffee,400,330,7,4.5,0,25,150,61,1,59,7
51481,Treats | Coffee,Vanilla Frosted Coffee,400,330,7,4.5,0,25,140,62,0,60,7
10354,Drinks,Freshly-Brewed Sweetened Iced Tea,604,120,0,0,0,0,0,31,0,30,0
10356,Drinks,Small Freshly-Brewed Sweetened Iced Tea,451,90,0,0,0,0,0,22,0,22,0
10361,Drinks,Medium Freshly-Brewed Sweetened Iced Tea,604,120,0,0,0,0,0,31,0,30,0
10362,Drinks,Large Freshly-Brewed Sweetened Iced Tea,893,170,0,0,0,0,0,44,0,44,0
10363,Drinks,Freshly-Brewed Unsweetened Iced Tea,604,0,0,0,0,0,0,0,0,0,0
10364,Drinks,Small Freshly-Brewed Unsweetened Iced Tea,451,0,0,0,0,0,0,0,0,0,0
10365,Drinks,Medium Freshly-Brewed Unsweetened Iced Tea,604,0,0,0,0,0,0,0,0,0,0
10366,Drinks,Large Freshly-Brewed Unsweetened Iced Tea,893,0,0,0,0,0,0,0,0,0,0
10367,Drinks,Chick-fil-A® Lemonade,612,260,0,0,0,0,0,66,0,60,0
10369,Drinks,Small Chick-fil-A® Lemonade,465,190,0,0,0,0,0,49,0,45,0
10370,Drinks,Medium Chick-fil-A® Lemonade,612,260,0,0,0,0,0,66,0,60,0
10371,Drinks,Large Chick-fil-A® Lemonade,916,380,0,0,0,0,0,98,1,90,1
10372,Drinks,Chick-fil-A® Diet Lemonade,612,60,0,0,0,0,10,15,0,11,0
10373,Drinks,Small Chick-fil-A® Diet Lemonade,465,40,0,0,0,0,10,12,0,8,0
10374,Drinks,Medium Chick-fil-A® Diet Lemonade,612,60,0,0,0,0,10,15,0,11,0
10375,Drinks,Large Chick-fil-A® Diet Lemonade,916,80,0,0,0,0,15,23,0,17,0
10376,Drinks,"Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",641,240,0,0,0,0,0,60,0,57,0
10378,Drinks,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",479,180,0,0,0,0,0,45,0,43,0
10379,Drinks,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",641,240,0,0,0,0,0,60,0,57,0
10380,Drinks,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",944,350,0,0,0,0,0,91,0,85,0
10381,Drinks,"Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",641,110,0,0,0,0,5,29,0,26,0
10382,Drinks,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",479,80,0,0,0,0,5,20,0,18,0
10383,Drinks,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",641,110,0,0,0,0,5,29,0,26,0
10384,Drinks,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",944,150,0,0,0,0,10,40,0,36,0
10385,Drinks,"Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",641,160,0,0,0,0,0,41,0,38,0
10386,Drinks,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",479,130,0,0,0,0,0,33,0,30,0
10387,Drinks,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",641,160,0,0,0,0,0,41,0,38,0
10388,Drinks,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",944,260,0,0,0,0,0,66,0,60,0
10389,Drinks,"Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",641,35,0,0,0,0,5,10,0,7,0
10390,Drinks,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",479,30,0,0,0,0,5,8,0,6,0
10391,Drinks,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",641,35,0,0,0,0,5,10,0,7,0
10392,Drinks,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",944,60,0,0,0,0,10,15,0,11,0
10395,Drinks,Iced Coffee,661,200,4,3,0,15,115,34,0,34,7
10404,Drinks,Coca-Cola®,584,170,0,0,0,0,45,46,0,46,0
10406,Drinks,Small Coca-Cola®,451,130,0,0,0,0,35,35,0,35,0
10407,Drinks,Medium Coca-Cola®,584,170,0,0,0,0,45,46,0,46,0
10408,Drinks,Large Coca-Cola®,859,250,0,0,0,0,65,68,0,68,0
10409,Drinks,Dr Pepper®,584,170,0,0,0,0,50,44,0,44,0
10411,Drinks,Small Dr Pepper®,451,130,0,0,0,0,40,34,0,34,0
10413,Drinks,Medium Dr Pepper®,584,170,0,0,0,0,50,44,0,44,0
10414,Drinks,Large Dr Pepper®,859,250,0,0,0,0,75,64,0,64,0
10430,Drinks,Gallon Beverages,340,190,0,0,0,0,0,49,0,45,0
10432,Drinks | Catering Drinks,Gallon Pineapple Dragonfruit Lemonade,340,210,0,0,0,0,10,53,0,44,0
10434,Drinks | Catering Drinks,"Gallon Pineapple Dragonfruit Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",340,180,0,0,0,0,10,44,0,38,0
10436,Drinks | Catering Drinks,Gallon Pineapple Dragonfruit Sweet Tea,340,150,0,0,0,0,10,37,0,33,0
10438,Drinks | Catering Drinks,Gallon Chick-fil-A® Lemonade,340,190,0,0,0,0,0,49,0,45,0
10440,Drinks | Catering Drinks,Gallon Chick-fil-A® Diet Lemonade,340,40,0,0,0,0,10,12,0,8,0
10442,Drinks | Catering Drinks,"Gallon Chick-fil-A® Lemonade (1/2 Lemonade, 1/2 Diet Lemonade)",340,120,0,0,0,0,0,33,0,30,0
10443,Drinks | Catering Drinks,Gallon Freshly-Brewed Iced Tea Sweetened,340,130,0,0,0,0,0,33,0,33,0
10444,Drinks | Catering Drinks,Gallon Freshly-Brewed Iced Tea Unsweetened,340,0,0,0,0,0,0,0,0,0,0
10446,Drinks | Catering Drinks,"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea, 1/2 Unsweet Tea)",340,70,0,0,0,0,0,18,0,18,0
10447,Drinks | Catering Drinks,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",340,160,0,0,0,0,0,41,0,39,0
10449,Drinks | Catering Drinks,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",340,90,0,0,0,0,0,23,0,21,0
10450,Drinks | Catering Drinks,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",340,100,0,0,0,0,0,26,0,24,0
10451,Drinks | Catering Drinks,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",340,20,0,0,0,0,0,6,0,4,0
10452,Drinks | Catering Drinks,Bag of Ice,28,0,0,0,0,0,0,0,0,0,0
47592,Drinks | Catering Drinks,Gallon Pineapple Dragonfruit Diet Lemonade,340,70,0,0,0,0,20,16,0,8,0
47593,Drinks | Catering Drinks,Gallon Pineapple Dragonfruit Unsweet Tea,340,25,0,0,0,0,10,5,0,0,0
47594,Drinks | Catering Drinks,"Gallon Pineapple Dragonfruit Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",340,110,0,0,0,0,15,28,0,22,0
47595,Drinks | Catering Drinks,"Gallon Pineapple Dragonfruit Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",340,110,0,0,0,0,10,27,0,20,0
47596,Drinks | Catering Drinks,"Gallon Pineapple Dragonfruit Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",340,45,0,0,0,0,15,10,0,4,0
22194,Drinks | Catering Drinks,Seasonal Gallon Beverages,340,210,0,0,0,0,10,53,0,44,0
10082,Drinks,"Pineapple Dragonfruit Sunjoy® (Sweet Tea, Lemonade)",662,240,0,0,0,0,15,59,0,50,0
10088,Drinks,"Pineapple Dragonfruit Sunjoy® (Sweet Tea, Diet Lemonade)",662,140,0,0,0,0,20,34,0,25,0
10089,Drinks,"Pineapple Dragonfruit Sunjoy® (Unsweet Tea, Lemonade)",662,160,0,0,0,0,15,39,0,30,0
10090,Drinks,"Pineapple Dragonfruit Sunjoy® (Unsweet Tea, Diet Lemonade)",662,60,0,0,0,0,20,14,0,6,0
10093,Drinks,Pineapple Dragonfruit Sweet Tea,662,150,0,0,0,0,15,37,0,31,0
10094,Drinks,Pineapple Dragonfruit Unsweet Tea,662,35,0,0,0,0,15,7,0,0,0
10095,Drinks,Pineapple Dragonfruit Lemonade,691,290,0,0,0,0,15,72,0,60,0
10098,Drinks,Pineapple Dragonfruit Diet Lemonade,662,90,0,0,0,0,25,21,0,10,0
10417,Drinks | Catering Drinks,DASANI® Bottled Water,479,0,0,0,0,0,0,0,0,0,0
10419,Drinks | Catering Drinks,Honest Kids® Apple Juice,170,35,0,0,0,0,15,9,0,8,0
10421,Drinks | Catering Drinks,Simply Orange®,326,160,0,0,0,0,10,34,0,30,2
10423,Drinks | Catering Drinks,1% Chocolate Milk,198,140,2,1.5,0,10,160,23,0,21,7
10425,Drinks | Catering Drinks,1% Milk,213,90,2,1.5,0,10,105,10,0,10,7
47590,Drinks,Pineapple Dragonfruit & Sprite®,662,190,0,0,0,0,100,50,0,43,0
51470,Coffee,Iced Coffee,672,260,9,6,0.5,35,190,38,0,34,8
10403,Coffee,Vanilla Iced Coffee,661,210,4,3,0,15,115,35,0,33,7
51472,Coffee,Caramel Iced Coffee,672,260,9,6,0.5,35,190,38,0,34,8
51474,Coffee,Mocha Iced Coffee,661,200,4.5,3,0,15,125,34,1,31,8
51476,Coffee,Iced Coffee,624,110,4,3,0,15,115,11,0,10,7
10427,Coffee,Hot Coffee,340,0,0,0,0,0,10,0,0,0,0
12414,Coffee,Frosted Coffee,374,260,7,4.5,0,25,140,45,0,44,7
51458,Coffee,Cream Cold Brew,700,520,22,14,1,80,440,75,0,71,9
51460,Coffee,Caramel Cream Cold Brew,700,520,22,14,1,80,440,75,0,71,9
51464,Coffee,Mocha Cream Cold Brew,689,460,17,11,0.5,65,370,71,1,68,9
51467,Coffee,Vanilla Cream Cold Brew,689,470,17,10,0.5,65,360,72,0,69,8
51469,Coffee,Cream Cold Brew,652,370,17,10,0.5,65,360,48,0,47,8
10570,Dipping Sauces,Barbeque Sauce,28,45,0,0,0,0,200,11,0,9,0
10571,Dipping Sauces,Chick-fil-A® Sauce,28,140,13,2,0,10,170,6,0,6,0
